,mask,rho,tau,lambda,image,frob,psnr,ssim
51,text,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,2,6.86,37.46,0.96
52,text,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,3,7.01,37.27,0.96
53,text,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,4,7.03,37.25,0.96
54,text,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,5,5.34,39.64,0.97
55,text,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,1,3.55,43.18,0.99
56,text,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,2,4.55,41.03,0.99
57,text,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,3,5.5,39.38,0.99
58,text,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,4,4.76,40.64,0.98
59,text,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,5,3.71,42.8,0.99
60,text,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,1,3.27,43.89,0.99
61,text,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,2,4.5,41.12,0.99
62,text,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,3,5.15,39.95,0.99
63,text,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,4,4.6,40.92,0.99
64,text,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,5,3.54,43.21,0.99
65,text,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,1,3.78,42.62,0.99
66,text,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,2,5.23,39.82,0.98
67,text,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,3,5.55,39.29,0.98
68,text,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,4,5.18,39.9,0.98
69,text,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,5,4.06,42.02,0.99
70,text,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,1,5.47,39.43,0.97
71,text,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,2,9.97,34.21,0.97
72,text,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,3,13.65,31.48,0.96
73,text,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,4,13.12,31.83,0.97
74,text,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,5,10.33,33.9,0.97
